
Mar		307.50	11	456.55	33	783.34	62	421.26	23	18.30	15	650.26	32	932.14	48	43.19	1	256.20	0

Abr		315.99	10	476.62	29	790.76	61	395.42	27	54.90	13	669.40	30	949.86	46	43.19	1	256.20	0

Mai		333.23	8	543.48	14	1078.64	19	580.29	9	268.06	3	873.36	9	1147.56	26	33.33	2	205.56	9

Jun		333.23	8	549.96	17	1096.78	17	606.87	3	206.20	6	838.98	12	1222.44	18	20.82	3	235.56	4

Jul		341.74	7	596.16	12	1105.85	16	598.01	5	206.20	6	861.90	10	1222.44	18	33.33	2	217.56	7

Ago		350.25	6	542.88	19	1078.64	19	580.29	9	185.58	7	861.90	10	1213.08	19	33.33	2	205.56	9

Set		350.25	6	508.08	24	1069.57	20	580.29	9	164.96	8	884.82	8	1194.36	21	45.84	1	229.56	5

Out		299.01	12	423.05	32	835.28	55	388.96	28	91.50	11	688.54	28	941.00	47	51.00	0	256.20	0

Nov		315.99	10	412.53	33	835.28	55	421.26	23	91.50	11	736.39	23	914.42	50	51.00	0	256.20	0

Dez		315.99	10	413.02	34	842.70	54	395.42	27	73.20	12	678.97	29	941.00	47	43.19	1	256.20	0

Jan		375.42	3	413.02	34	827.86	56	434.18	21	73.20	12	717.25	25	941.00	47	35.37	2	256.20	0

Fev		282.03	14	434.54	33	805.60	59	414.80	24	54.90	13	650.26	32	914.42	50	51.00	0	256.20	0

Mar		332.97	8	391.98	36	790.76	61	401.88	26	73.20	12	688.54	28	949.86	46	51.00	0	256.20	0

Abr		299.01	12	358.96	36	775.92	63	401.88	26	128.10	9	659.83	31	914.42	50	51.00	0	256.20	0

Mai		350.25	6	515.16	22	1133.06	13	602.44	4	185.58	7	827.52	13	1194.36	21	33.33	2	223.56	6

Jun		333.23	8	591.24	15	1114.92	15	575.86	10	164.96	8	827.52	13	1185.00	22	33.33	2	217.56	7

Jul		350.25	6	568.44	15	1133.06	13	580.29	9	206.20	6	838.98	12	1269.24	13	45.84	1	223.56	6

Ago		358.76	5	529.32	18	1087.71	18	584.72	8	226.82	5	884.82	8	1203.72	20	20.82	3	241.56	3

Set		350.25	6	568.44	15	1105.85	16	593.58	6	206.20	6	919.20	5	1194.36	21	20.82	3	211.56	8

Out		290.52	13	412.53	33	798.18	60	414.80	24	91.50	11	611.98	36	914.42	50	51.00	0	256.20	0

Nov		307.50	11	446.03	34	820.44	57	434.18	21	18.30	15	717.25	25	958.72	45	43.19	1	256.20	0

Dez		299.01	12	402.01	34	805.60	59	414.80	24	91.50	11	688.54	28	923.28	49	51.00	0	256.20	0

Jan		324.48	9	456.55	33	783.34	62	401.88	26	18.30	15	698.11	27	976.44	43	35.37	2	256.20	0

Fev		307.50	11	413.02	34	805.60	59	421.26	23	73.20	12	717.25	25	958.72	45	43.19	1	256.20	0

Mar		341.46	7	391.01	34	783.34	62	427.72	22	109.80	10	650.26	32	985.30	42	51.00	0	256.20	0

Abr		315.99	10	391.01	34	768.50	64	408.34	25	109.80	10	698.11	27	967.58	44	51.00	0	256.20	0

Mai		324.72	9	542.88	19	1114.92	15	589.15	7	185.58	7	838.98	12	1222.44	18	45.84	1	235.56	4

